StudyHours,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,EduTech,StressLevel,Target
19,1,0,0,1,0,19,2,8,1,0,1,0
19,1,0,0,1,0,23,3,16,0,0,1,0
19,1,0,0,1,0,28,1,19,0,1,1,0
19,1,1,0,1,0,19,2,8,1,0,1,0
19,1,1,0,1,0,23,3,16,0,0,1,0
19,1,1,0,1,0,28,1,19,0,1,1,0
19,0,1,0,1,0,19,2,8,1,0,1,0
19,0,1,0,1,0,23,3,16,0,0,1,0
19,0,1,0,1,0,28,1,19,0,1,1,0
19,1,1,1,1,0,19,2,8,1,0,1,0
19,1,1,1,1,0,23,3,16,0,0,1,0
19,1,1,1,1,0,28,1,19,0,1,1,0
19,1,0,0,1,0,19,2,8,1,0,1,0
19,1,0,0,1,0,23,3,16,0,0,1,0
19,1,0,0,1,0,28,1,19,0,1,1,0
19,2,0,1,1,0,19,2,8,1,0,1,0
19,2,0,1,1,0,23,3,16,0,0,1,0
19,2,0,1,1,0,28,1,19,0,1,1,0
24,1,1,1,1,1,29,0,3,0,1,2,0
24,1,1,1,1,1,27,0,0,1,1,0,0
24,1,1,1,1,1,25,1,5,1,1,0,0
24,1,1,1,1,1,29,0,3,0,1,2,0
24,1,1,1,1,1,27,0,0,1,1,0,0
24,1,1,1,1,1,25,1,5,1,1,0,0
24,0,0,2,1,1,29,0,3,0,1,2,0
24,0,0,2,1,1,27,0,0,1,1,0,0
24,0,0,2,1,1,25,1,5,1,1,0,0
24,0,0,1,1,1,29,0,3,0,1,2,0
24,0,0,1,1,1,27,0,0,1,1,0,0
24,0,0,1,1,1,25,1,5,1,1,0,0
24,1,1,2,1,1,29,0,3,0,1,2,0
24,1,1,2,1,1,27,0,0,1,1,0,0
24,1,1,2,1,1,25,1,5,1,1,0,0
24,0,0,0,0,1,29,0,3,0,1,2,0
24,0,0,0,0,1,27,0,0,1,1,0,0
24,0,0,0,0,1,25,1,5,1,1,0,0
29,1,1,1,1,1,20,0,17,1,1,2,0
29,1,1,1,1,1,23,2,4,1,1,2,0
